Name,BSE Code,NSE Code,ISIN Code,Industry Group
360 ONE,542772,360ONE,INE466L01038,Capital Markets
3M India,523395,3MINDIA,INE470A01017,Diversified
A B B,500002,ABB,INE117A01022,Electrical Equipment
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing
A B Real Estate,500040,ABREL,INE055A01016,Realty
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology
ACC,500410,ACC,INE012A01025,Cement & Cement Products
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles"
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading
Adani Green,541450,ADANIGREEN,INE364U01010,Power
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure
Adani Power,533096,ADANIPOWER,INE814H01029,Power
Adani Total Gas,542066,ATGL,INE399L01023,Gas
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products
Ajanta Pharma,532331,AJANTPHARM,INE031B01049,ptus
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology
Allied Blenders,544203,ABDL,INE552Z01027,Beverages
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components
Amber Enterp.,540902,AMBER,INE371P01015,Consumer Durables
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty
Angel One,543235,ANGELONE,INE732I01021,Capital Markets
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology
Anupam Rasayan,543275,ANURAS,INE930P01018,Chemicals & Petrochemicals
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance
Asahi India Glas,515030,ASAHIINDIA,INE439A01020,Auto Components
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles"
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables
Aster DM Health.,540975,ASTERDM,INE914M01019,Healthcare Services
Astral,532830,ASTRAL,INE006I01046,Industrial Products
Ather Energy,544397,ATHERENERG,INE0LEZ01016,Automobiles
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals
AU Small Finance,540611,AUBANK,INE949L01017,Banks
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology
Authum Invest,539177,AIIL,INE206F01022,Finance
Avenue Super.,540376,DMART,INE192R01011,Retailing
AWL Agri Busine.,543458,AWL,INE699H01024,Agricultural Food & other Products
Axis Bank,532215,AXISBANK,INE238A01034,Banks
B H E L,500103,BHEL,INE257A01026,Electrical Equipment
B P C L,500547,BPCL,INE029A01011,Petroleum Products
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance

