Name,Symbol,Industry Group,Base Rev FY24 (Cr),End Rev FY26 (Cr),2Y CAGR (%),CAGR Status,TTM Rev (Cr),TTM vs End FY (%),Current Price (INR),Price 2Y Ago (INR),% Away,ROCE (%),Error
A B Lifestyle,ABLBL.NS,Retailing,,,,,,,,,,,"Not enough data. Need 3 years, got 2: ['FY25', 'FY26']"
3M India,3MINDIA.NS,Diversified,3336.0,4189.0,12.1,FAIL,4186.0,-0.1,34940.0,38071.0,-8.2,40.5,
A B Real Estate,ABREL.NS,Realty,1101.0,407.0,-39.2,FAIL,407.0,0.0,1378.1,2329.35,-40.8,-4.3,
360 ONE,360ONE.NS,Capital Markets,2921.0,4362.0,22.2,PASS,4621.0,5.9,1142.9,1110.44,2.9,12.1,
A B B,ABB.NS,Electrical Equipment,7608.0,13203.0,31.7,PASS,13093.0,-0.8,7291.5,7791.47,-6.4,29.9,
AAVAS Financiers,AAVAS.NS,Finance,1304.0,2018.0,24.4,PASS,2018.0,0.0,1362.6,1675.65,-18.7,9.91,
ACC,ACC.NS,Cement & Cement Products,19959.0,25962.0,14.1,FAIL,25442.0,-2.0,1356.5,2565.39,-47.1,11.2,
Aarti Industries,AARTIIND.NS,Chemicals & Petrochemicals,6371.0,8286.0,14.0,FAIL,8286.0,0.0,480.2,746.86,-35.7,6.85,
Aadhar Hsg. Fin.,AADHARHFC.NS,Finance,2587.0,3683.0,19.3,PASS,3683.0,0.0,490.75,446.45,9.9,11.4,
Abbott India,ABBOTINDIA.NS,Pharmaceuticals & Biotechnology,5847.19,6926.9,8.8,FAIL,6929.05,0.0,27555.0,27355.08,0.7,43.4,
Acutaas Chemical,ACUTAAS.NS,Pharmaceuticals & Biotechnology,717.0,1339.0,36.7,PASS,1462.0,9.2,3233.8,666.92,384.9,31.6,
Adani Enterp.,ADANIENT.NS,Metals & Minerals Trading,96421.0,100469.0,2.1,FAIL,111431.0,10.9,3049.1,3166.41,-3.7,5.8,
ACME Solar Hold.,ACMESOLAR.NS,Power,1319.0,2023.0,23.8,PASS,2370.0,17.2,360.7,252.69,42.7,8.89,
Adani Energy Sol,ADANIENSOL.NS,Power,16607.0,27588.0,28.9,PASS,30480.0,10.5,1659.0,1138.05,45.8,9.65,
Action Const.Eq.,ACE.NS,"Agricultural, Commercial & Construction Vehicles",2914.0,3280.0,6.1,FAIL,3414.0,4.1,1057.2,1388.23,-23.8,31.7,
Adani Ports,ADANIPORTS.NS,Transport Infrastructure,26711.0,38736.0,20.4,PASS,40430.0,4.4,1664.1,1555.74,7.0,14.1,
Adani Total Gas,ATGL.NS,Gas,4475.0,5894.0,14.8,FAIL,6269.0,6.4,650.15,894.9,-27.3,15.3,
Adani Power,ADANIPOWER.NS,Power,50351.0,54241.0,3.8,FAIL,59033.0,8.8,208.97,146.89,42.3,17.2,
Adani Green,ADANIGREEN.NS,Power,7792.0,11212.0,20.0,PASS,13559.0,20.9,1358.7,1847.2,-26.4,7.39,
Aditya AMC,ABSLAMC.NS,Capital Markets,1636.0,2056.0,12.1,FAIL,1861.0,-9.5,1008.8,658.03,53.3,32.2,
Aditya Infotech,CPPLUS.NS,Industrial Manufacturing,2782.0,4221.0,23.2,PASS,4221.0,0.0,3259.8,1082.16,201.2,28.6,
Aegis Vopak Term,AEGISVOPAK.NS,Oil,562.0,923.0,28.2,PASS,923.0,0.0,292.3,241.82,20.9,7.56,
Aditya Birla Cap,ABCAPITAL.NS,Finance,33958.0,45513.0,15.8,PASS,45513.0,0.0,394.05,226.88,73.7,8.72,
Aegis Logistics,AEGISLOG.NS,Gas,7046.0,8333.0,8.8,FAIL,8333.0,0.0,1249.3,816.54,53.0,13.3,
Aditya Bir. Fas.,ABFRL.NS,Retailing,6441.0,8177.0,12.7,FAIL,8177.0,0.0,58.94,343.7,-82.9,7.1,
AIA Engineering,AIAENG.NS,Industrial Products,4854.0,4420.0,-4.6,FAIL,4420.0,0.0,4563.5,4581.3,-0.4,21.1,
Alkem Lab,ALKEM.NS,Pharmaceuticals & Biotechnology,12668.0,14712.0,7.8,FAIL,14712.0,0.0,5816.5,5212.58,11.6,21.2,
Affle 3i,AFFLE.NS,IT - Services,1843.0,2709.0,21.2,PASS,2709.0,0.0,1622.7,1510.1,7.5,16.8,
Afcons Infrastr.,AFCONS.NS,Construction,13268.0,11948.0,-5.1,FAIL,11948.0,0.0,273.25,468.1,-41.6,13.9,
Ajanta Pharma,AJANTPHARM.NS,ptus,4209.0,5453.0,13.8,FAIL,5776.0,5.9,3436.4,2641.22,30.1,34.5,
Amara Raja Ener.,ARE&M.NS,Auto Components,11708.0,13814.0,8.6,FAIL,13814.0,0.0,906.85,1592.08,-43.0,12.2,
Allied Blenders,ABDL.NS,Beverages,3328.0,3923.0,8.6,FAIL,3979.0,1.4,648.45,303.03,114.0,18.4,
Ambuja Cements,AMBUJACEM.NS,Cement & Cement Products,38937.0,35336.0,-4.7,FAIL,39867.0,12.8,434.2,674.13,-35.6,5.61,
Anand Rathi Wea.,ANANDRATHI.NS,Capital Markets,724.32,1148.83,25.9,PASS,1401.25,22.0,2039.3,935.39,118.0,53.1,
Amber Enterp.,AMBER.NS,Consumer Durables,6530.75,12186.48,36.6,PASS,12186.48,-0.0,7401.0,4334.5,70.7,11.7,
Anupam Rasayan,ANURAS.NS,Chemicals & Petrochemicals,1475.0,2365.0,26.6,PASS,2365.0,0.0,1210.8,782.67,54.7,7.36,
Apar Inds.,APARINDS.NS,Electrical Equipment,16153.0,22902.0,19.1,PASS,24389.0,6.5,13745.0,9119.03,50.7,31.1,
Anthem Bioscienc,ANTHEM.NS,Pharmaceuticals & Biotechnology,1419.37,2124.33,22.3,PASS,2007.33,-5.5,784.4,728.45,7.7,31.1,
Angel One,ANGELONE.NS,Capital Markets,3397.04,4305.41,12.6,FAIL,4986.23,15.8,291.65,208.74,39.7,28.9,
Anant Raj,ANANTRAJ.NS,Realty,1483.3,2511.6,30.1,PASS,2511.6,0.0,609.6,554.43,10.0,12.1,
APL Apollo Tubes,APLAPOLLO.NS,Industrial Products,18119.0,23079.0,12.9,FAIL,23079.0,0.0,1893.1,1474.67,28.4,31.6,
Apollo Tyres,APOLLOTYRE.NS,Auto Components,25378.0,28471.0,5.9,FAIL,28471.0,0.0,423.2,542.91,-22.0,13.9,
Asahi India Glas,ASAHIINDIA.NS,Auto Components,4306.01,4906.02,6.7,FAIL,4989.93,1.7,869.3,662.79,31.2,15.4,
Apollo Hospitals,APOLLOHOSP.NS,Healthcare Services,18862.3,25228.5,15.7,PASS,25228.5,-0.0,8988.0,6578.65,36.6,25.4,
Aptus Value Hou.,APTUS.NS,Finance,1021.33,1597.04,25.0,PASS,1533.89,-4.0,277.2,306.53,-9.6,,
Ashok Leyland,ASHOKLEY.NS,"Agricultural, Commercial & Construction Vehicles",45703.0,48314.0,2.8,FAIL,48314.0,0.0,158.09,122.24,29.3,13.6,
Aster DM Health.,ASTERDM.NS,Healthcare Services,3699.0,4643.0,12.0,FAIL,4643.0,0.0,814.0,340.34,139.2,11.4,
Astral,ASTRAL.NS,Industrial Products,5628.8,6568.6,8.0,FAIL,6568.6,-0.0,1471.9,2178.32,-32.4,24.4,
